"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Villar, Jonathan","542340","2020","207",26.1,9.2,".232",".292",".301","0.593",".216",".287",".266",".261",".288",,,,,,,,,"86.7","1.6",18.7,1.5,35.8,"99.470722344","93.853135313",32,51.6
"Aguilar, Jesús","542583","2020","216",18.5,10.6,".277",".457",".352","0.809",".271",".452",".347",".345",".348",,,,,,,,,"89.3","16",37.5,7.2,37.5,"99.078188947","93.762450461",22.3,47.3
"Crawford, Brandon","543063","2020","193",24.4,7.8,".256",".465",".326","0.791",".235",".398",".334",".309",".311",,,,,,,,,"88.7","12.4",35.4,9.4,39.4,"98.74086254","93.673056111",31.5,54.6
"Grossman, Robbie","543257","2020","192",19.8,10.9,".241",".482",".344","0.826",".240",".399",".351",".328",".344",,,,,,,,,"89","15.2",33.6,5.5,37.5,"98.280297813","93.396949921",18.4,43.4
"Hicks, Aaron","543305","2020","211",18,19.4,".225",".414",".379","0.793",".256",".435",".351",".374",".405",,,,,,,,,"88.2","11.1",29.8,6.9,38.2,"99.738009846","93.99654093",27.9,39.4
"Rendon, Anthony","543685","2020","232",13.4,16.4,".286",".497",".418","0.915",".287",".469",".395",".390",".420",,,,,,,,,"90.1","19.5",39.2,6.3,40.5,"98.602933924","93.634717389",14.7,40.5
"Semien, Marcus","543760","2020","236",21.2,10.6,".223",".374",".305","0.679",".209",".352",".299",".287",".293",,,,,,,,,"86.2","19.3",32.9,5,28.6,"96.361638375","92.211459874",23.3,44.1
"Springer III, George","543807","2020","222",17.1,10.8,".265",".540",".359","0.899",".294",".569",".379",".405",".386",,,,,,,,,"88.7","18.3",35.3,12.4,42.5,"101.012866184","94.708160132",25.3,47.7
"Vázquez, Christian","543877","2020","189",22.8,8.5,".283",".457",".344","0.801",".222",".358",".346",".285",".289",,,,,,,,,"88.4","14.4",33.1,4.6,40,"98.429126154","93.35878876",22.9,47.6
"Wong, Kolten","543939","2020","208",14.4,9.6,".265",".326",".350","0.676",".235",".306",".305",".286",".324",,,,,,,,,"86.5","10.8",31.2,0.6,26.6,"95.584306892","91.793051554",15.8,43.9
