"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"White, Evan","657108","2020","202",41.6,8.9,".176",".346",".252","0.598",".190",".387",".261",".292",".269",,,,,,,,,"91.7","13.7",27.3,14.1,52.5,"102.396977755","95.801080408",38,43.8
"Laureano, Ramón","657656","2020","222",26.1,10.8,".213",".366",".338","0.704",".230",".403",".315",".338",".353",,,,,,,,,"87.7","12.3",34.4,9.4,34.4,"99.202456563","93.694385859",25,40.2
"Moncada, Yoán","660162","2020","231",31.2,12.1,".225",".385",".320","0.705",".207",".336",".309",".290",".306",,,,,,,,,"87.8","13.9",33.8,6.2,33.1,"98.732421563","93.432022969",30.5,43.1
"Acuña Jr., Ronald","660670","2020","202",29.7,18.8,".250",".581",".406","0.987",".254",".591",".413",".420",".409",,,,,,,,,"92.4","18.6",34,16,57,"105.5944674","97.7021265",29.9,40.5
"Riley, Austin","663586","2020","206",23.8,7.8,".239",".415",".301","0.716",".265",".474",".307",".342",".325",,,,,,,,,"91","13.6",30.7,10,42.9,"101.303326667","95.046922681",30.1,54.2
"Tucker, Kyle","663656","2020","228",20.2,7.9,".268",".512",".325","0.837",".261",".449",".349",".327",".318",,,,,,,,,"91.1","14.9",34.1,9.1,44.5,"100.585821585","94.801780307",22.5,50.5
"Grisham, Trent","663757","2020","252",25.4,12.3,".251",".456",".352","0.808",".266",".482",".349",".368",".366",,,,,,,,,"88.3","13.5",37.9,11.1,41.8,"100.546281528","94.492469653",24.2,38.3
"Happ, Ian","664023","2020","231",27.3,13,".258",".505",".361","0.866",".261",".469",".369",".362",".365",,,,,,,,,"91.1","9",37.5,10.3,48.5,"101.293754179","95.210163083",35.7,43.5
"Lowe, Brandon","664040","2020","224",25.9,11.2,".269",".554",".362","0.916",".261",".550",".385",".384",".356",,,,,,,,,"89.8","18.1",37.2,17.5,43.1,"101.582307353","95.064492574",35.7,46.9
"Fletcher, David","664058","2020","230",10.9,8.7,".319",".425",".376","0.801",".292",".351",".350",".316",".352",,,,,,,,,"84.7","4.1",30.8,0.5,17.8,"93.861628587","90.930814293",8.6,37.2
"Tatis Jr., Fernando","665487","2020","257",23.7,10.5,".277",".571",".366","0.937",".297",".614",".392",".422",".386",,,,,,,,,"95.9","8.7",32.3,19.5,62.2,"105.418141463","98.319840671",28,47
"Guerrero Jr., Vladimir","665489","2020","243",15.6,8.2,".262",".462",".329","0.791",".268",".446",".338",".338",".334",,,,,,,,,"92.5","4.6",29.5,8.7,50.8,"104.137539231","96.564434725",24.7,47.9
"Soto, Juan","665742","2020","196",14.3,20.9,".351",".695",".490","1.185",".332",".696",".478",".475",".475",,,,,,,,,"92.1","4.3",33.3,18.3,51.6,"104.179163651","96.71684",21.4,36.2
"Gurriel Jr., Lourdes","666971","2020","224",21.4,6.3,".308",".534",".348","0.882",".281",".486",".372",".347",".325",,,,,,,,,"90.8","10.5",39.5,11.7,49.4,"101.125280494","95.206539938",26.3,51.2
"Reynolds, Bryan","668804","2020","208",27.4,10.1,".189",".357",".275","0.632",".228",".403",".278",".314",".310",,,,,,,,,"87.5","10.2",35.2,10.2,38.3,"99.182354844","93.601750078",27.7,46.8
"Edman, Tommy","669242","2020","227",21.1,7,".250",".368",".317","0.685",".266",".367",".302",".315",".334",,,,,,,,,"86.5","8.2",31,3.8,33.5,"98.038288205","93.038931538",19,42.7
"Solak, Nick","669256","2020","233",18,7.7,".268",".344",".326","0.670",".264",".388",".297",".318",".326",,,,,,,,,"89.9","9.4",27.5,4.7,40.4,"99.55755","94.098003235",19.1,43.8
"Hiura, Keston","669374","2020","246",34.6,6.5,".212",".410",".297","0.707",".210",".435",".304",".318",".299",,,,,,,,,"87.4","14.3",34.3,14.2,39.6,"99.973661343","94.067657368",42.7,50.1
"Lopez, Nicky","670032","2020","192",21.4,9.4,".201",".266",".286","0.552",".238",".308",".254",".287",".319",,,,,,,,,"84.9","1.4",30.5,1.5,26.7,"95.483714921","91.77179232",21,44.6
"Robert Jr., Luis","673357","2020","227",32.2,8.8,".233",".436",".302","0.738",".221",".462",".316",".326",".296",,,,,,,,,"87.9","16.7",36.6,13,40.5,"101.465314462","94.80674876",41.5,57.6
"Cabrera, Miguel","408234","2021","526",22.4,7.6,".256",".386",".316","0.702",".234",".420",".305",".315",".301",,,,,,,,,"91.4","10",32.8,8.3,49,"101.953387486","95.613068408",25.8,49.4
"Cruz Jr., Nelson","443558","2021","584",21.6,8.7,".265",".497",".334","0.831",".264",".512",".346",".363",".341",,,,,,,,,"92.9","11.8",31.8,13.6,52.5,"105.497885455","97.364589369",30.7,51
"Peralta, David","444482","2021","538",17.1,8.6,".259",".402",".325","0.727",".243",".345",".314",".293",".313",,,,,,,,,"89.3","5.3",27.2,5,41.8,"101.204662576","94.748489747",21.3,46.5
"Blackmon, Charlie","453568","2021","582",15.6,9.3,".270",".411",".351","0.762",".291",".450",".333",".359",".369",,,,,,,,,"87.6","10.2",32.6,7,38.5,"99.359821596","93.750499272",20.2,47.3
"McCutchen, Andrew","457705","2021","574",23,14.1,".222",".444",".334","0.778",".240",".431",".335",".344",".352",,,,,,,,,"88.8","14.6",33.6,9,39.5,"99.449259775","93.945349747",25.9,41.7
"Turner, Justin","457759","2021","612",16,10,".278",".471",".361","0.832",".270",".470",".358",".359",".358",,,,,,,,,"90.9","19.2",36.5,7.9,42.4,"99.559758318","94.25153575",17.7,44.5
"Votto, Joey","458015","2021","533",23.8,14.4,".266",".563",".375","0.938",".274",".592",".391",".406",".383",,,,,,,,,"92.9","18.2",44.3,17.2,53.2,"102.539441104","96.093851969",29.4,43.9
"Andrus, Elvis","462101","2021","541",15,5.7,".243",".320",".294","0.614",".273",".375",".270",".308",".324",,,,,,,,,"87.8","8.1",34,2.1,34.8,"98.143821256","93.154317918",19.6,48.9
"Santana, Carlos","467793","2021","659",15.5,13.1,".214",".342",".319","0.661",".244",".421",".294",".335",".345",,,,,,,,,"89.9","12.9",28,6.8,41.9,"100.529242479","94.571698094",22.2,43.4
"Lowrie, Jed","476704","2021","512",21.1,9.6,".245",".398",".318","0.716",".259",".464",".311",".343",".332",,,,,,,,,"90.7","16.4",36.5,9.3,45.9,"100.200115198","94.60925779",24.2,46.7
"Brantley Jr., Michael","488726","2021","508",10.4,6.5,".311",".437",".362","0.799",".312",".466",".347",".361",".365",,,,,,,,,"89.5","9.9",38.8,5.8,42.9,"99.686219375","94.187918365",10.9,45.6
"Gurriel Jr., Yuli","493329","2021","605",11.2,9.8,".319",".462",".383","0.845",".271",".386",".363",".326",".347",,,,,,,,,"89.8","13.4",31,3.4,42,"99.889790127","94.187271203",13.9,42.8
"Rojas, Miguel","500743","2021","539",13.7,6.9,".265",".392",".322","0.714",".249",".345",".311",".292",".308",,,,,,,,,"86.2","11.5",32.4,2.8,32.9,"96.919576095","92.460967976",19.3,45.7
"Escobar, Eduardo","500871","2021","599",20.7,8,".253",".472",".314","0.786",".249",".453",".334",".328",".310",,,,,,,,,"87","20.8",38,8.9,34.5,"98.233403679","93.168115165",23.9,49.5
"Pham, Tommy","502054","2021","561",22.8,13.9,".229",".383",".340","0.723",".253",".438",".318",".350",".362",,,,,,,,,"90.8","7.6",35.6,10,47.6,"101.782107886","95.261546371",23.6,38.2
"Martinez, J.D.","502110","2021","634",23.7,8.7,".286",".518",".349","0.867",".288",".533",".364",".374",".352",,,,,,,,,"92.1","16.9",41.2,12.5,49.4,"102.421753991","95.887919576",29.2,54.2
"Goldschmidt, Paul","502671","2021","679",20,9.9,".294",".514",".365","0.879",".293",".575",".373",".397",".366",,,,,,,,,"92.6","17.1",36.9,13.6,50.6,"102.744108602","96.119572675",24.9,44.2
"Altuve, Jose","514888","2021","678",13.4,9.7,".278",".489",".350","0.839",".262",".421",".357",".332",".339",,,,,,,,,"87.7","15.6",32.1,6.4,35,"98.384760909","93.261160455",15.9,47.4
"Hernández, César","514917","2021","637",21.2,9.3,".232",".386",".308","0.694",".243",".386",".302",".311",".319",,,,,,,,,"87.4","10.7",32.6,6.8,33.2,"98.368510187","93.237272693",22,47.1
"Segura, Jean","516416","2021","567",13.8,6.9,".290",".436",".348","0.784",".266",".396",".338",".319",".328",,,,,,,,,"87.2","5.8",31.1,5.9,37.4,"99.697739358","93.921203784",17.1,48.7
"Marte, Starling","516782","2021","526",18.8,8.2,".310",".458",".383","0.841",".277",".438",".364",".347",".354",,,,,,,,,"87.6","4.6",32.6,8.4,39.6,"100.239516776","94.207705479",24.4,49.5
"Donaldson, Josh","518626","2021","543",21,13.6,".247",".475",".352","0.827",".269",".542",".353",".388",".372",,,,,,,,,"94.1","14.6",30.2,17.4,52.7,"104.204804343","97.023133829",27.6,45.2
"Freeman, Freddie","518692","2021","695",15.4,12.2,".300",".503",".393","0.896",".320",".583",".379",".416",".410",,,,,,,,,"91.4","12",37.2,11.5,46.1,"101.764448826","95.351215951",21,51.2
"LeMahieu, DJ","518934","2021","679",13.8,10.8,".268",".362",".349","0.711",".283",".397",".315",".340",".366",,,,,,,,,"90.6","5",33.3,3.7,43.5,"100.113305573","94.512956356",14.4,41.4
"Rizzo, Anthony","519203","2021","576",15.1,9,".248",".440",".344","0.784",".261",".434",".339",".347",".356",,,,,,,,,"90.1","14.8",31.4,7.7,41.1,"100.696655631","94.60294966",20.8,46.5
"Stanton, Giancarlo","519317","2021","579",27.1,10.9,".273",".516",".354","0.870",".262",".498",".370",".363",".346",,,,,,,,,"95.1","10.3",32.6,15.7,56.3,"108.657830625","99.263673807",32.6,44.2
"Perez, Salvador","521692","2021","665",25.6,4.2,".273",".544",".316","0.860",".273",".562",".359",".371",".318",,,,,,,,,"93","15.9",34.1,16.3,56.2,"104.087645903","97.05981185",33.7,58.9
"García, Avisaíl","541645","2021","515",23.5,7.4,".262",".490",".330","0.820",".278",".514",".346",".366",".346",,,,,,,,,"90.4","9.3",35.9,12.2,46.4,"102.661785607","95.672483217",33.7,58.1
"Villar, Jonathan","542340","2021","505",26.1,9.1,".249",".416",".322","0.738",".235",".388",".320",".307",".310",,,,,,,,,"88","7",29.9,7.4,34.9,"99.828691447","93.930594182",30.1,49.9
"Aguilar, Jesús","542583","2021","510",18.2,9,".261",".459",".329","0.788",".260",".453",".334",".334",".329",,,,,,,,,"89.6","19",34.7,8.5,41,"100.000025495","94.305900248",25.9,44.8
"Crawford, Brandon","543063","2021","549",19.1,10.2,".298",".522",".373","0.895",".259",".492",".377",".356",".341",,,,,,,,,"88.8","14.7",35.8,11.5,43.3,"99.818696492","94.078049948",29.3,51.7
"Cron, C.J.","543068","2021","547",21.4,11,".281",".530",".375","0.905",".261",".481",".383",".364",".360",,,,,,,,,"88.8","15.8",31.9,11.5,42,"101.733108492","94.934202465",27.4,47.1
"Grossman, Robbie","543257","2021","671",23.1,14.6,".239",".415",".357","0.772",".234",".399",".337",".334",".355",,,,,,,,,"87.8","21.1",39.5,7.6,34.1,"97.650887745","92.935303661",21.6,38.4
"Harrison, Josh","543281","2021","558",13.4,5.6,".279",".400",".341","0.741",".278",".420",".325",".333",".340",,,,,,,,,"87.2","14.5",39.5,4.4,32.6,"97.20370125","92.65377125",18.8,55.4
"Hosmer, Eric","543333","2021","565",17.5,8.5,".269",".395",".337","0.732",".268",".406",".319",".326",".337",,,,,,,,,"90.5","3.3",26.6,5.8,47,"102.446751471","95.653349314",22.9,48.3
"Semien, Marcus","543760","2021","724",20.2,9.1,".265",".538",".334","0.872",".249",".459",".368",".336",".320",,,,,,,,,"89.7","20.3",35.2,9.8,41.3,"99.347364664","93.999108178",21.5,45.1
"Grichuk, Randal","545341","2021","545",20.9,5,".241",".423",".281","0.704",".234",".402",".300",".297",".278",,,,,,,,,"89.8","16.1",30.4,8.5,41.1,"101.265902714","94.873053501",23.2,52.3
"Harper, Bryce","547180","2021","599",22.4,16.7,".309",".615",".429","1.044",".301",".609",".431",".430",".423",,,,,,,,,"92.5","13.3",38.9,18.1,49.7,"104.095508409","96.641756068",31.9,47.5
"Abreu, José","547989","2021","659",21.7,9.3,".261",".481",".351","0.832",".252",".457",".354",".349",".347",,,,,,,,,"92","10.4",31.2,10.2,49.3,"102.892077685","95.964420464",27.7,48.4
"Suárez, Eugenio","553993","2021","574",29.8,9.8,".198",".428",".286","0.714",".215",".455",".306",".326",".302",,,,,,,,,"89.1","18.3",33,15,39.8,"100.26923","94.340085339",29.5,42.7
"Schoop, Jonathan","570731","2021","674",19.7,5.5,".278",".435",".320","0.755",".258",".404",".324",".311",".305",,,,,,,,,"88.1","10.8",30.1,6.8,40.2,"101.189261968","94.661372435",24.7,52.5
"Arenado, Nolan","571448","2021","653",14.7,7.7,".255",".494",".312","0.806",".248",".420",".336",".311",".308",,,,,,,,,"89","20",34.1,6.7,37.5,"98.719642976","93.570965437",18.5,46.8
"Farmer, Kyle","571657","2021","529",18.3,4.2,".263",".416",".316","0.732",".252",".383",".316",".302",".306",,,,,,,,,"87.2","15.8",36,4.3,31.9,"97.545416308","92.888295077",20,49.9
"Haniger, Mitch","571745","2021","691",24.5,7.8,".253",".485",".318","0.803",".257",".492",".340",".350",".325",,,,,,,,,"89.3","14.8",33.6,12.6,45.1,"100.90811287","94.762439739",29.8,46.6
"Hernández, Enrique","571771","2021","585",18.8,10.4,".250",".449",".337","0.786",".253",".455",".338",".346",".342",,,,,,,,,"90.8","17.9",36.5,8.4,43.2,"99.999080443","94.357513827",23.5,44.6
"Muncy, Max","571970","2021","592",20.3,14,".249",".527",".368","0.895",".271",".580",".379",".407",".387",,,,,,,,,"91.2","15.2",34.9,16.1,46.6,"102.0590325","95.545324574",23.4,37.6
"Seager, Kyle","572122","2021","670",24,8.8,".212",".438",".285","0.723",".221",".452",".308",".319",".294",,,,,,,,,"89","19.5",35.7,12.3,40.1,"99.68216","94.062280564",29.6,49.6
"Taylor, Michael A.","572191","2021","528",27.3,6.3,".244",".356",".297","0.653",".246",".390",".286",".300",".299",,,,,,,,,"89.4","12.1",30.6,6.6,40.2,"100.404271228","94.393365396",30.9,51.9
"Yastrzemski, Mike","573262","2021","532",24.6,9.6,".224",".457",".311","0.768",".221",".431",".326",".318",".309",,,,,,,,,"89.5","19.4",33.1,10.3,39.3,"99.157264671","93.794353174",24.2,45.9
"Iglesias, Jose","578428","2021","511",14.7,4.1,".271",".391",".309","0.700",".270",".366",".304",".297",".308",,,,,,,,,"85.4","11.5",35.5,3.4,28.6,"96.57281701","92.297143784",18.9,55
"Bryant, Kris","592178","2021","586",23,10.6,".265",".481",".353","0.834",".260",".449",".356",".346",".349",,,,,,,,,"88.2","15.1",37.1,10.3,40,"99.222537","93.821051447",28,48.7
"Canha, Mark","592192","2021","625",20.5,12.3,".231",".387",".358","0.745",".231",".378",".333",".332",".358",,,,,,,,,"87.3","13.5",36.1,7.1,35.4,"97.938321269","93.004303181",21.5,40.5
"Castellanos, Nick","592206","2021","585",20.7,7,".309",".576",".362","0.938",".293",".535",".391",".374",".350",,,,,,,,,"89.8","14",44,10.6,46.9,"101.478243413","95.160421779",30.6,55
"Judge, Aaron","592450","2021","633",25,11.8,".287",".544",".373","0.917",".308",".594",".387",".418",".394",,,,,,,,,"95.8","11.6",38.5,17.6,58.4,"107.090197563","98.864780584",29.1,42.5
"Machado, Manny","592518","2021","640",15.9,9.8,".278",".489",".347","0.836",".291",".526",".350",".376",".363",,,,,,,,,"93.1","14",33.8,13.3,52.2,"104.861270593","97.161278811",23,48
"Realmuto, J.T.","592663","2021","537",24,8.9,".263",".439",".343","0.782",".253",".416",".336",".329",".335",,,,,,,,,"89.6","11.5",31.2,8.6,44.7,"101.300227486","94.997809341",27,49.5
"Renfroe, Hunter","592669","2021","572",22.7,7.7,".259",".501",".315","0.816",".260",".506",".344",".354",".320",,,,,,,,,"90.1","15.6",32.7,14.4,44.3,"102.674148889","95.514085899",25.9,48.2
"Merrifield, Whit","593160","2021","720",14.3,5.6,".277",".395",".317","0.712",".263",".383",".306",".301",".306",,,,,,,,,"86.9","14.1",40,3.5,28.8,"96.198273099","92.10313669",18.1,50
"Bogaerts, Xander","593428","2021","603",18.7,10.3,".295",".493",".370","0.863",".280",".468",".368",".359",".359",,,,,,,,,"89.6","12.5",36.4,9.7,43,"100.949849336","94.630657583",22,45.7
"Polanco, Jorge","593871","2021","644",18.3,7,".269",".503",".323","0.826",".267",".488",".349",".348",".323",,,,,,,,,"89.4","19.3",36.1,10.1,37.4,"99.644968803","94.059153897",19.7,49.5
"Sanó, Miguel","593934","2021","532",34.4,11.1,".223",".466",".312","0.778",".216",".439",".332",".322",".306",,,,,,,,,"93.4","17.6",32.3,17.7,55.9,"105.463960417","97.768462404",38.2,44.6
"Duvall, Adam","594807","2021","555",31.4,6.3,".228",".491",".281","0.772",".227",".499",".324",".330",".281",,,,,,,,,"89.8","23.6",33.3,16.1,43.9,"101.576989532","95.059923684",29.3,50
"Báez, Javier","595879","2021","547",33.6,5.1,".265",".494",".319","0.813",".237",".450",".344",".321",".295",,,,,,,,,"90.1","10.6",32.7,13.4,45.2,"102.100878994","95.40051456",40.5,56.9
"Lindor, Francisco","596019","2021","524",18.3,11.1,".230",".412",".322","0.734",".254",".450",".317",".344",".345",,,,,,,,,"90.7","14.4",35.6,8.2,44.1,"100.654597006","94.782827712",23.2,47.4
"Story, Trevor","596115","2021","595",23.4,8.9,".251",".471",".329","0.800",".245",".450",".341",".335",".326",,,,,,,,,"90.6","17.5",34.2,9.9,42.6,"100.826442959","94.729589592",27.4,50.8
"Candelario, Jeimer","600869","2021","626",21.6,10.4,".271",".443",".351","0.794",".278",".462",".344",".356",".358",,,,,,,,,"88.7","12.6",38.6,9,39.1,"99.820428626","94.030826508",23.4,47.6
"Bell, Josh","605137","2021","568",17.8,11.4,".261",".476",".347","0.823",".277",".488",".352",".367",".363",,,,,,,,,"92.5","4.9",28.5,8.8,52,"103.31235455","96.348443033",24.1,46.7
"Betts, Mookie","605141","2021","550",15.6,12.4,".264",".487",".367","0.854",".263",".445",".365",".357",".369",,,,,,,,,"90.3","18.9",34,7.8,41,"99.139157135","94.102277154",16.8,40.4
"Tapia, Raimel","606132","2021","533",13.1,7.5,".273",".372",".327","0.699",".241",".308",".305",".273",".298",,,,,,,,,"85.7","-4.4",19.9,2.1,31.5,"96.953380048","92.476739258",14.7,51.2
"Hernández, Teoscar","606192","2021","595",24.9,6.1,".296",".524",".346","0.870",".284",".537",".369",".370",".336",,,,,,,,,"91.8","13.1",37.4,13.9,49,"103.3032702","96.169584775",31.8,51.8
"Turner, Trea","607208","2021","646",17,6.3,".328",".536",".375","0.911",".304",".485",".386",".364",".355",,,,,,,,,"89.6","11.4",34.6,7.4,46.2,"101.311622295","94.938968542",23,49.2
"Ramírez, José","608070","2021","636",13.7,11.3,".266",".538",".355","0.893",".283",".508",".372",".376",".373",,,,,,,,,"90","18.2",33.4,11.1,42.4,"100.831039528","94.777982232",14.9,43
"Gallo, Joey","608336","2021","616",34.6,18,".199",".458",".351","0.809",".199",".460",".348",".352",".352",,,,,,,,,"91.5","22.7",29.4,18.5,45.8,"103.455349562","96.100400474",38.8,40.4
"Swanson, Dansby","621020","2021","653",25.6,8,".248",".449",".311","0.760",".251",".455",".322",".332",".316",,,,,,,,,"89.3","14.1",36.8,11.4,42.7,"99.888272056","94.152698735",30.4,48.1
"Newman, Kevin","621028","2021","554",7.4,4.9,".226",".309",".265","0.574",".255",".330",".249",".275",".293",,,,,,,,,"85.3","9.9",32,1.6,26,"95.837500212","91.93298839",11.8,44.9
"Taylor, Chris","621035","2021","582",28.7,10.8,".254",".438",".344","0.782",".237",".422",".338",".329",".330",,,,,,,,,"88.2","17.4",38.1,10.2,38.1,"99.754756176","93.990311298",32.7,45.6
"Correa, Carlos","621043","2021","640",18.1,11.7,".279",".485",".366","0.851",".296",".482",".364",".373",".380",,,,,,,,,"90.2","12.1",33.5,9.4,42.7,"101.559240852","95.042767326",20.9,42.1
"Olson, Matt","621566","2021","673",16.8,13.1,".271",".540",".371","0.911",".264",".507",".379",".378",".374",,,,,,,,,"91.6","16.2",32.4,12.7,48.8,"102.889106926","95.968662554",23,47
"Alonso, Pete","624413","2021","637",19.9,9.4,".262",".519",".344","0.863",".271",".542",".363",".377",".352",,,,,,,,,"91","14.7",34.5,14.8,47.3,"103.709055662","96.163804165",24.9,49.3
"Frazier, Adam","624428","2021","639",10.8,7.5,".305",".411",".368","0.779",".288",".376",".341",".324",".353",,,,,,,,,"85.4","12.6",38.9,1,25.2,"94.770636087","91.395336317",12.4,47.6
"Soler, Jorge","624585","2021","602",23.6,11.1,".223",".432",".316","0.748",".250",".494",".323",".359",".341",,,,,,,,,"91.2","15.7",30.9,12.7,47,"103.589178942","96.139729418",29.2,44.8
"Cronenworth, Jake","630105","2021","643",14,8.6,".266",".460",".340","0.800",".276",".443",".341",".344",".351",,,,,,,,,"88.6","12.5",35.8,7.2,35,"98.727004664","93.509905895",13.7,43.2
"Meadows, Austin","640457","2021","591",20.6,10,".234",".458",".315","0.773",".240",".425",".327",".326",".325",,,,,,,,,"89.3","21.7",36.1,8.7,37.9,"99.236473035","93.763605871",24.4,46.7
"Anderson, Tim","641313","2021","551",21.6,4,".309",".469",".338","0.807",".278",".442",".345",".324",".308",,,,,,,,,"89.6","4.3",32.5,7.8,42.3,"100.468994726","94.526930721",25.9,57.8
"Crawford, J.P.","641487","2021","687",16.6,8.4,".273",".376",".338","0.714",".257",".339",".314",".298",".325",,,,,,,,,"86.3","9.8",34.3,2.4,30.6,"97.337774462","92.671236474",15.5,44.2
"Dozier, Hunter","641531","2021","543",28.4,7.9,".216",".394",".285","0.679",".224",".388",".293",".299",".295",,,,,,,,,"89.9","15.8",33,8.8,42.2,"100.920294588","94.659477906",32.4,48.8
"Mancini III, Trey","641820","2021","616",23.2,8.3,".255",".432",".326","0.758",".266",".452",".326",".341",".337",,,,,,,,,"88.9","9.7",36,10.4,42,"101.505868937","94.869304891",29.6,47
"McMahon, Ryan","641857","2021","596",24.7,9.9,".254",".449",".331","0.780",".244",".426",".334",".325",".323",,,,,,,,,"90.5","14.3",40.2,7.3,43.5,"100.810510524","94.736908351",29.2,48.8
"O'Neill, Tyler","641933","2021","537",31.3,7.1,".286",".560",".352","0.912",".276",".579",".384",".389",".344",,,,,,,,,"93","17.8",39.9,17.9,52.2,"104.172238365","97.016212516",34.7,49.8
"Rosario, Amed","642708","2021","588",20.4,5.3,".282",".409",".321","0.730",".267",".368",".315",".300",".310",,,,,,,,,"88.8","5.5",32,2.8,43.5,"100.03613414","94.229745093",24.8,48.9
"Adames, Willy","642715","2021","555",28.1,10.3,".262",".481",".337","0.818",".236",".438",".349",".325",".314",,,,,,,,,"89.5","16.8",35.1,11.4,44.7,"100.71382731","94.667554152",32.6,48.9
"Benintendi, Andrew","643217","2021","538",18,6.7,".276",".442",".324","0.766",".261",".456",".328",".331",".313",,,,,,,,,"89.6","15.4",38.5,8.9,43.2,"98.80441545","93.810618421",22.5,52.5
"Kiner-Falefa, Isiah","643396","2021","677",13.3,4.1,".271",".357",".312","0.669",".267",".349",".293",".292",".309",,,,,,,,,"85.5","5.4",31.6,1.8,28.8,"96.328326447","92.167027033",14.5,46.5
"Albies, Ozzie","645277","2021","686",18.7,6.9,".259",".488",".310","0.798",".257",".461",".336",".329",".309",,,,,,,,,"89.6","21.1",37,9.3,37.2,"98.68556664","93.56121501",24.9,56.8
"Devers, Rafael","646240","2021","664",21.5,9.3,".279",".538",".352","0.890",".291",".567",".373",".394",".366",,,,,,,,,"92.9","13.1",35.2,15,51.8,"104.101831156","96.761008486",27.7,53.6
"Urías, Luis","649966","2021","570",20.4,11.1,".249",".445",".345","0.790",".241",".427",".340",".333",".338",,,,,,,,,"87.9","14.2",34.9,9.3,40.5,"99.110538783","93.797357825",22.8,46.3
"Torres, Gleyber","650402","2021","516",20.2,9.7,".259",".366",".331","0.697",".265",".423",".307",".331",".336",,,,,,,,,"87.1","14.2",37.1,7.8,35.7,"98.748265196","93.463817961",26.3,46.7
"Díaz, Yandy","650490","2021","541",15.7,12.8,".256",".387",".353","0.740",".254",".399",".325",".332",".353",,,,,,,,,"89.9","6.6",28.9,7,40.6,"101.639064531","95.019968229",19.3,42.6
"Chapman, Matt","656305","2021","622",32.5,12.9,".210",".403",".314","0.717",".209",".423",".311",".321",".315",,,,,,,,,"89.7","18.6",32.1,13.7,41.7,"101.114826012","94.75382",32.7,44.6
"Mullins II, Cedric","656775","2021","675",18.5,8.7,".291",".518",".360","0.878",".272",".447",".372",".344",".344",,,,,,,,,"89.4","14.8",35.7,8.1,39.4,"99.369452076","93.977727373",20.4,46.3
"Smith, Pavin","656976","2021","545",19.4,7.7,".267",".404",".328","0.732",".258",".402",".318",".317",".321",,,,,,,,,"87.2","9",33.6,5.1,42.7,"100.06822449","94.188626913",17.3,42.1
"Verdugo, Alex","657077","2021","604",15.9,8.4,".289",".426",".351","0.777",".285",".446",".334",".342",".348",,,,,,,,,"90","7.7",34.9,7.3,43.3,"100.363833673","94.50134427",17.7,44.7
"Moncada, Yoán","660162","2021","616",25.5,13.6,".263",".412",".375","0.787",".261",".426",".347",".353",".374",,,,,,,,,"90.1","11.3",40,8.2,41.2,"100.949227444","94.870101083",28.1,42.6
"Ohtani, Shohei","660271","2021","639",29.6,15,".257",".592",".372","0.964",".266",".612",".393",".408",".382",,,,,,,,,"93.6","16.6",35.4,22.3,53.6,"105.900177151","97.802022297",35,45.8
"Riley, Austin","663586","2021","662",25.4,7.9,".303",".531",".367","0.898",".281",".511",".379",".366",".348",,,,,,,,,"90.1","14.2",36.5,13.3,45.6,"102.871134252","95.650249087",28.3,50.2
"Mountcastle, Ryan","663624","2021","586",27.5,7,".255",".487",".309","0.796",".245",".457",".335",".326",".303",,,,,,,,,"89.1","16.3",38.9,11.8,39.7,"100.499725842","94.394270947",31.6,55.1
"Tucker, Kyle","663656","2021","567",15.9,9.3,".294",".557",".359","0.916",".303",".576",".383",".396",".369",,,,,,,,,"91.4","17.6",42,11.6,47.5,"100.838759238","95.0535942",20.3,52.5
"India, Jonathan","663697","2021","631",22.3,11.3,".269",".459",".376","0.835",".254",".436",".363",".352",".364",,,,,,,,,"87.6","13.1",33.6,9.6,38.6,"99.492120758","93.903783494",25.1,39
"Grisham, Trent","663757","2021","527",22.6,10.2,".242",".413",".327","0.740",".241",".368",".320",".309",".328",,,,,,,,,"88.8","12.3",31,5.2,36.8,"99.288052118","93.873059115",21.7,40.5
"Lowe, Nathaniel","663993","2021","642",25.2,12.5,".264",".415",".357","0.772",".236",".401",".337",".323",".333",,,,,,,,,"90.8","5",31.4,9.5,45.5,"101.920030352","95.281020854",23.5,44.7
"Happ, Ian","664023","2021","535",29.2,11.6,".226",".434",".323","0.757",".220",".396",".328",".317",".320",,,,,,,,,"89.5","9.9",30.8,10.9,41.3,"100.682785163","94.566082557",32.3,43.9
"France, Ty","664034","2021","650",16.3,7.1,".291",".445",".368","0.813",".270",".435",".353",".346",".353",,,,,,,,,"88.5","11",35.9,6.8,38.9,"99.630842766","93.91855583",19.1,50.3
"Lowe, Brandon","664040","2021","615",27.2,11.1,".247",".523",".340","0.863",".249",".499",".363",".360",".343",,,,,,,,,"89.3","16.9",37.2,14,43.1,"100.943196413","94.724953913",32.8,52.5
"Fletcher, David","664058","2021","665",9,4.7,".262",".324",".297","0.621",".272",".320",".273",".280",".307",,,,,,,,,"82.3","8.2",30.4,0,15.7,"92.661183488","90.514600036",9.5,46.5
